<http://ke.course/rtk#姓名> 姓名
<http://ke.course/rtk#拼音> 拼音
<http://ke.course/rtk#性别> 性别
<http://ke.course/rtk#是否虚构> 是否虚构
<http://ke.course/rtk#字> 字
<http://ke.course/rtk#出生年份> 出生年份
<http://ke.course/rtk#死亡年份> 死亡年份
<http://ke.course/rtk#现代籍贯> 现代籍贯
<http://ke.course/rtk#别名> 别名
<http://ke.course/rtk#效忠势力> 效忠势力
<http://ke.course/rtk#古代籍贯> 古代籍贯
<http://ke.course/rtk#父母> 父母
<http://ke.course/rtk#配偶> 配偶
<http://ke.course/rtk#兄弟> 兄弟
<http://ke.course/rtk#子女> 子女
<http://ke.course/rtk#介绍> 介绍
<http://ke.course/rtk#地名> 地名
<http://ke.course/rtk#现代地名> 现代地名
<http://ke.course/rtk#行政级别> 行政级别
<http://ke.course/rtk#事件名> 事件名
<http://ke.course/rtk#提示> 提示
<http://ke.course/rtk#历史> 历史
<http://ke.course/rtk#发生时间>
<http://ke.course/rtk#事件地点> 事件地点
<http://ke.course/rtk#对应章节> 对应章节
<http://ke.course/rtk#涉及人物> 涉及人物
<http://ke.course/rtk#势力名称> 势力名称
<http://ke.course/rtk#建立时间> 建立时间
<http://ke.course/rtk#灭亡时间> 灭亡时间
<http://ke.course/rtk#官职名称> 官职名称
<http://ke.course/rtk#章节编号> 章节编号
<http://ke.course/rtk#章节标题> 章节标题
